"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,1678,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,1638,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,1578,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,1592,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,1863,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,1917,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,1990,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,2121,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,2281,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,2399,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,834,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2021","2021","PKM","Passenger-kilometres","6","Millions",,,870,,
"IRL","Ireland","T-PASS-RL-TOT","Rail passenger transport","2022","2022","PKM","Passenger-kilometres","6","Millions",,,1748,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1981","1981","PKM","Passenger-kilometres","6","Millions",,,252,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1982","1982","PKM","Passenger-kilometres","6","Millions",,,251,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1983","1983","PKM","Passenger-kilometres","6","Millions",,,239,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1984","1984","PKM","Passenger-kilometres","6","Millions",,,232,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1985","1985","PKM","Passenger-kilometres","6","Millions",,,229,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1986","1986","PKM","Passenger-kilometres","6","Millions",,,224,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1987","1987","PKM","Passenger-kilometres","6","Millions",,,216,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1988","1988","PKM","Passenger-kilometres","6","Millions",,,223,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1989","1989","PKM","Passenger-kilometres","6","Millions",,,224,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1990","1990","PKM","Passenger-kilometres","6","Millions",,,208,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1991","1991","PKM","Passenger-kilometres","6","Millions",,,227,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1992","1992","PKM","Passenger-kilometres","6","Millions",,,255,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1993","1993","PKM","Passenger-kilometres","6","Millions",,,262,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1994","1994","PKM","Passenger-kilometres","6","Millions",,,289,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1995","1995","PKM","Passenger-kilometres","6","Millions",,,286,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1996","1996","PKM","Passenger-kilometres","6","Millions",,,284,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1997","1997","PKM","Passenger-kilometres","6","Millions",,,295,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1998","1998","PKM","Passenger-kilometres","6","Millions",,,300,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","1999","1999","PKM","Passenger-kilometres","6","Millions",,,310,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,332,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,346,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,268,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,262,,
"LUX","Luxembourg","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,266,,
