"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1987","1987","TONNEKM","Tonnes-kilometres","6","Millions",,,7403,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1988","1988","TONNEKM","Tonnes-kilometres","6","Millions",,,7816,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1989","1989","TONNEKM","Tonnes-kilometres","6","Millions",,,7958,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1990","1990","TONNEKM","Tonnes-kilometres","6","Millions",,,8357,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1991","1991","TONNEKM","Tonnes-kilometres","6","Millions",,,7634,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1992","1992","TONNEKM","Tonnes-kilometres","6","Millions",,,7848,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1993","1993","TONNEKM","Tonnes-kilometres","6","Millions",,,9259,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1994","1994","TONNEKM","Tonnes-kilometres","6","Millions",,,9949,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1995","1995","TONNEKM","Tonnes-kilometres","6","Millions",,,9293,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1996","1996","TONNEKM","Tonnes-kilometres","6","Millions",,,8806,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1997","1997","TONNEKM","Tonnes-kilometres","6","Millions",,,9856,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1998","1998","TONNEKM","Tonnes-kilometres","6","Millions",,,9885,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,9753,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,10107,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,9857,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,9664,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,10047,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,10105,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,9706,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,11060,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,10434,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,10777,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,8872,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,9750,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,9395,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,9275,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,9470,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,9596,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,8468,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,9455,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,10362,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,11175,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,10270,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,10138,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,10749,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","2022","2022","TONNEKM","Tonnes-kilometres","6","Millions",,,8844,,
